"id","town","county"
"38266","Blaydon Burn","Durham"
"38267","Blaydon","Durham"
"38268","Blaxton","South Yorkshire"
"38269","Blaxhall","Suffolk"
"38270","Blawith","Cumbria"
"38271","Blatherwycke","Northamptonshire"
"38272","Blatchbridge","Somerset"
"38273","Blaston","Leicestershire"
"38274","Blaster Hole","Orkney"
"38275","Blashford","Hampshire"
"38276","Blashaval","Western Isles"
"38277","Blasford Hill","Essex"
"38278","Blarnalearoch","Highland"
"38279","Blarmachfoldach","Highland"
"38280","Blarbuie","Argyll and Bute"
"38281","Blantyre","Lanarkshire"
"38282","Westbrook","Surrey"
"38283","West Bromwich","West Midlands"
"38284","West Brompton","London"
"38285","Blannicombe","Devon"
"38286","Blankney","Lincolnshire"
"38287","Blank Bank","Staffordshire"
"38288","Blane Water","Stirling"
"38289","Blanerne","Scottish Borders"
"38290","Blanefield","Stirling"
"38291","Blandy","Highland"
"38292","Bland Hill","North Yorkshire"
"38293","Blandford St Mary","Dorset"
"38294","Blandford Forum","Dorset"
"38295","Blakesley","Northamptonshire"
"38296","Blanchland","Northumberland"
"38297","Blandford Camp","Dorset"
"38298","Blakeshall","Worcestershire"
"38299","Blakenhall","Cheshire"
"38300","Blakenhall","Staffordshire"
"38301","Blakeney","Norfolk"
"38302","Blakeney","Gloucestershire"
"38303","Blakenall Heath","Staffordshire"
"38304","Blakemere","Herefordshire"
"38305","Blakelow","Cheshire"
"38306","Blakeley Lane","Staffordshire"
"38307","Blakeley","Staffordshire"
"38308","Blakelaw","Tyne and Wear"
"38309","Blakelands","Buckinghamshire"
"38310","Blake End","Essex"
"38311","Blakedown","Worcestershire"
"38312","Blakebrook","Worcestershire"
"38313","Blaise Hamlet","Bristol"
"38314","Blaisdon","Gloucestershire"
"38315","Blairskaith","Dunbartonshire"
"38316","Blairninich","Highland"
"38317","Blairmore","Argyll and Bute"
"38318","Blairmore","Highland"
"38319","Blairlogie","Stirling"
"38320","Blairland","Ayrshire"
"38321","Blairlinn","Lanarkshire"
"38322","Blairingone","Perth and Kinross"
"38323","Blairhill","Lanarkshire"
"38324","Blairhall","Fife"
"38325","Blairgowrie","Perth and Kinross"
"38326","Blair Drummond","Stirling"
"38327","Blairburn","Fife"
"38328","Blairbeg","Ayrshire"
"38329","Blair","Fife"
"38330","Blair Atholl","Perth and Kinross"
"38331","Blain","Highland"
"38332","Blaina","Blaenau Gwent/Blaenau Gwent"
"38333","Blagill","Cumbria"
"38334","Blaguegate","Lancashire"
"38335","Blaich","Highland"
"38336","Blagdon Hill","Somerset"
"38337","Blagdon Lake","Somerset"
"38338","Blagdon","Somerset"
"38339","Blagdon","Devon"
"38340","Blaen-y-cwm","Blaenau Gwent/Blaenau Gwent"
"38341","Blaenwaun","Carmarthenshire/Sir Gaerfyrddin"
"38342","Blaen-waun","Cardiganshire/Ceredigion"
"38343","Blaenrhondda","Rhondda"
"38344","Blaenporth","Cardiganshire/Ceredigion"
"38345","Blaenplwyf","Cardiganshire/Ceredigion"
"38346","Blaenpennal","Cardiganshire/Ceredigion"
"38347","Blaen-pant","Cardiganshire/Ceredigion"
"38348","Blaenllechau","Rhondda"
"38349","Blaengwynfi","Neath Port Talbot"
"38350","Blaengwrach","Neath Port Talbot"
"38351","Blaengarw","Glamorgan/Morgannwg"
"38352","Blaenffos","Pembrokeshire/Sir Benfro"
"38353","Blaencwm","Rhondda"
"38354","Blaen Clydach","Rhondda"
"38355","Blaencelyn","Cardiganshire/Ceredigion"
"38356","Blaencaerau","Glamorgan/Morgannwg"
"38357","Blaenbedw Fawr","Cardiganshire/Ceredigion"
"38358","Blaenavon","Torfaen"
"38359","Blaenau-Gwent","Blaenau Gwent/Blaenau Gwent"
"38360","Blaenau Ffestiniog","Gwynedd/Gwynedd"
"38361","Blaenau Dolwyddelan","Conwy/Conwy"
"38362","Blaenau","Flintshire/Sir Fflint"
"38363","Blaenau","Carmarthenshire/Sir Gaerfyrddin"
"38364","Blaenannerch","Cardiganshire/Ceredigion"
"38365","Bladon","Oxfordshire"
"38366","Bladnoch","Dumfries and Galloway"
"38367","Blades","North Yorkshire"
"38368","Blacon","Cheshire"
"38369","Bladbean","Kent"
"38370","Blackwood","Cheshire"
"38371","Blackwood","Lanarkshire"
"38372","Blackwell","Derbyshire"
"38373","Blackwood (Coed Duon)","Caerphilly/Caerffili"
"38374","Blackwell","Cumbria"
"38375","Blackwell","North Yorkshire"
"38376","Blackwell","Worcestershire"
"38377","Blackwell","Warwickshire"
"38378","Blackwell","West Sussex"
"38379","Blackwell","Devon"
"38380","Blackweir","Cardiff/Caerdydd"
"38381","Blackwater Reservoir","Highland"
"38382","Black Water of Dee (Dee)","Dumfries and Galloway"
"38383","Blackwaterfoot","Ayrshire"
"38384","Blackwater","Hampshire"
"38385","Blackwater","Norfolk"
"38386","Blackwater","Hampshire"
"38387","Black Water","Highland"
"38388","Blackwater","Essex"
"38389","Black Water","Moray"
"38390","Black Water","Ayrshire"
"38391","Black Water","Perth and Kinross"
"38392","Blackwater","Cornwall"
"38393","Blackwater","Isle of Wight"
"38394","Black Water","Aberdeenshire"
"38395","Blackwater","Dorset"
"38396","Blackwater","Somerset"
"38397","Blackwater","Berkshire"
"38398","Black Water (Uisage Dubh)","Highland"
"38399","Blackwall","Derbyshire"
"38400","Blackwall","London"
"38401","Black Vein","Caerphilly/Caerffili"
"38402","Blacktown","Newport"
"38403","Black Torrington","Devon"
"38404","Blacktop","Aberdeenshire"
"38405","Blacktoft","North Yorkshire"
"38406","Blackthorpe","Suffolk"
"38407","Black Tar","Pembrokeshire/Sir Benfro"
"38408","Blackthorn","Oxfordshire"
"38409","Blackstone","West Sussex"
"38410","Black Street","Suffolk"
"38411","Blackstone","West Sussex"
"38412","Blacksnape","Lancashire"
"38413","Blacksmith's Green","Suffolk"
"38414","Blacksmith's Corner","Suffolk"
"38415","Blackrod","Lancashire"
"38416","Blackshaw Head","Durham"
"38417","Blackshaw Moor","Staffordshire"
"38418","Blackrock","Argyll and Bute"
"38419","Blackrock","Somerset"
"38420","Blackrock","Monmouthshire/Sir Fynwy"
"38421","Black Rock","Cornwall"
"38422","Black Rock","Gloucestershire"
"38423","Blackridge","West Lothian"
"38424","Blackpool Corner","Devon"
"38425","Blackpool","Lancashire"
"38426","Blackpool","Pembrokeshire/Sir Benfro"
"38427","Blackpool","Devon"
"38428","Black Pole","Lancashire"
"38429","Blackpole","Worcestershire"
"38430","Black Pill","Swansea"
"38431","Black Park","Highland"
"38432","Black Park","Wrexham"
"38433","Blackoe","Wrexham"
"38434","Blacko","Lancashire"
"38435","Black Notley","Essex"
"38436","Blacknoll","Dorset"
"38437","Blackney","Dorset"
"38438","Blacknest","Berkshire"
"38439","Blacknest","Hampshire"
"38440","Blackness","Stirling"
"38441","Blackness","East Sussex"
"38442","Black Muir","Fife"
"38443","Blackmore End","Hertfordshire"
"38444","Blackmore End","Essex"
"38445","Blackmore End","Essex"
"38446","Blackmore","Shropshire"
"38447","Blackmore","Essex"
"38448","Blackmoor Gate","Devon"
"38449","Blackmoorfoot","West Yorkshire"
"38450","Black Moor","Lancashire"
"38451","Blackmoor","Lancashire"
"38452","Black Moor","West Yorkshire"
"38453","Blackmoor","Somerset"
"38454","Blackmoor","Hampshire"
"38455","Blackminster","Worcestershire"
"38456","Blackmill","Glamorgan/Morgannwg"
"38457","Blackmarstone","Herefordshire"
"38458","Black Lyne","Cumbria"
"38459","Blacklunans","Perth and Kinross"
"38460","Blackley","Manchester"
"38461","Blackley","Durham"
"38462","Blacklaw","Aberdeenshire"
"38463","Blackleach","Lancashire"
"38464","Blacklands","Herefordshire"
"38465","Black Lane","Lancashire"
"38466","Blacklands","East Sussex"
"38467","Blackland","Wiltshire"
"38468","Black Lake","West Midlands"
"38469","Blackjack","Lincolnshire"
"38470","Blackird Leys","Oxfordshire"
"38471","Blackhouse","Aberdeenshire"
"38472","Black Horse Drove","Cambridgeshire"
"38473","Blackhorse","Gloucestershire"
"38474","Blackhorse","Devon"
"38475","Blackhills","Swansea"
"38476","Blackhillock","Moray"
"38477","Black Hill","West Yorkshire"
"38478","Blackhill","Durham"
"38479","Blackhill","Highland"
"38480","Blackhill","Aberdeenshire"
"38481","Blackhill","Hampshire"
"38482","Black Heddon","Northumberland"
"38483","Blackheath Park","London"
"38484","Blackheath","London"
"38485","Blackheath","Essex"
"38486","Blackheath","West Midlands"
"38487","Black Head","Cornwall"
"38488","Blackham","East Sussex"
"38489","Blackhall Rocks","Durham"
"38490","Blackhall Mill","Durham"
"38491","Blackhall Colliery","Durham"
"38492","Blackhall","Edinburgh"
"38493","Blackhall","Renfrewshire"
"38494","Blackgill Burn","Durham"
"38495","Black Garpel","Ayrshire"
"38496","Blackgang","Isle of Wight"
"38497","Blackfoss Beck","North Yorkshire"
"38498","Blackfords","Staffordshire"
"38499","Blackfordby","Leicestershire"
"38500","Blackford Bridge","Lancashire"
"38501","Blackford","Perth and Kinross"
"38502","Blackford","Cumbria"
"38503","Blackford","Dumfries and Galloway"
"38504","Blackford","Shropshire"
"38505","Blackford","Somerset"
"38506","Blackfold","Highland"
"38507","Blackfield","Hampshire"
"38508","Blackfen","London"
"38509","Blackfell","Durham"
"38510","Blacketts","Kent"
"38511","Black Esk","Dumfries and Galloway"
"38512","Blacker Hill","South Yorkshire"
"38513","Blacker","South Yorkshire"
"38514","Blackdykes","East Lothian"
"38515","Blackdyke","Cumbria"
"38516","Blackdown","Warwickshire"
"38517","Blackdown","Dorset"
"38518","Blackdown","Hampshire"
"38519","Blackdog","Aberdeenshire"
"38520","Black Dog","Devon"
"38521","Blackditch","Oxfordshire"
"38522","Black Devon","Fife"
"38523","Black Devon","Clackmannanshire"
"38524","Blackden Heath","Cheshire"
"38525","Black Dam","Hampshire"
"38526","Black Cross","Cornwall"
"38527","Black Crofts","Argyll and Bute"
"38528","Black Corner","West Sussex"
"38529","Blackcastle","Midlothian"
"38530","Black Cart Water","Renfrewshire"
"38531","Black Carr","Norfolk"
"38532","Black Callerton","Tyne and Wear"
"38533","Blackburn","Aberdeenshire"
"38534","Blackburn","West Lothian"
"38535","Blackburn","South Yorkshire"
"38536","Blackburn","Lancashire"
"38537","Blackburn","Moray"
"38538","Black Burn","Cumbria"
"38539","Black Burn","Scottish Borders"
"38540","Black Burn","Moray"
"38541","Blackbrook","Staffordshire"
"38542","Blackbrook","Derbyshire"
"38543","Blackbrook","Merseyside"
"38544","Blackbrook","Derbyshire"
"38545","Blackbrook","Surrey"
"38546","Black Brook","Staffordshire"
"38547","Blackboys","East Sussex"
"38548","Black Bourton","Oxfordshire"
"38549","Blackborough End","Norfolk"
"38550","Blackborough","Norfolk"
"38551","Blackborough","Devon"
"38552","Blackbeck","Cumbria"
"38553","Black Barn","Lincolnshire"
"38554","Black Banks","Durham"
"38555","Black Bank","Warwickshire"
"38556","Black Bank","Cambridgeshire"
"38557","Blackawton","Devon"
"38558","Blackadder Water","Scottish Borders"
"38559","Blacka Burn","Northumberland"
"38560","Blaby","Leicestershire"
"38561","Bla Bheinn","Highland"
"38562","Bixter","Shetland Isles"
"38563","Bix","Oxfordshire"
"38564","Bitton","Gloucestershire"
"38565","Bittles Green","Dorset"
"38566","Bitteswell","Leicestershire"
"38567","Bitterscote","Staffordshire"
"38568","Bitterne Park","Hampshire"
"38569","Bitterne","Hampshire"
"38570","Bittaford","Devon"
"38571","Bittering","Norfolk"
"38572","Bitterley","Shropshire"
"38573","Bittadon","Devon"
"38574","Bitchfield","Lincolnshire"
"38575","Bitchet Green","Kent"
"38576","Bisterne","Hampshire"
"38577","Bisterne Close","Hampshire"
"38578","Bissom","Cornwall"
"38579","Bissoe","Cornwall"
"38580","Biss","Wiltshire"
"38581","Bispham","Lancashire"
"38582","Bispham Green","Lancashire"
"38583","Bisley Camp","Surrey"
"38584","Bisley","Surrey"
"38585","Bisley","Gloucestershire"
"38586","Bishton","Staffordshire"
"38587","Bishton","Newport"
"38588","Bishpool","Newport"
"38589","Bishop Wilton","North Yorkshire"
"38590","Bishopwearmouth","Durham"
"38591","Bishopton","Renfrewshire"
"38592","Bishopton","North Yorkshire"
"38593","Bishopton","Dumfries and Galloway"
"38594","Bishopton","Durham"
"38595","Bishopton","Warwickshire"
"38596","Bishopthorpe","North Yorkshire"
"38597","Bishop Thornton","North Yorkshire"
"38598","Bishopsworth","Bristol"
"38599","Bishopswood","Devon"
"38600","Bishops Wood","Shropshire"
"38601","Bishop's Waltham","Hampshire"
"38602","Bishop Sutton","Somerset"
"38603","Bishopstrow","Wiltshire"
"38604","Bishopstone","Kent"
"38605","Bishopstone","Wiltshire"
"38606","Bishopstone","Buckinghamshire"
"38607","Bishopstone","Herefordshire"
"38608","Bishopstone","East Sussex"
"38609","Bishopstone","Wiltshire"
"38610","Bishopston","Bristol"
"38611","Bishopston","Swansea"
"38612","Bishopstoke","Hampshire"
"38613","Bishopsteignton","Devon"
"38614","Bishop's Tawton","Devon"
"38615","Bishop's Tachbrook","Warwickshire"
"38616","Bishop's Sutton","Hampshire"
"38617","Bishop's Stortford","Hertfordshire"
"38618","Bishop's Quay","Cornwall"
"38619","Bishop's Nympton","Devon"
"38620","Bishop's Offley","Staffordshire"
"38621","Bishop's Norton","Gloucestershire"
"38622","Bishops Lydeard","Somerset"
"38623","Bishop's Itchington","Warwickshire"
"38624","Bishop's Hull","Somerset"
"38625","Bishop's Green","Hampshire"
"38626","Bishops Green","Essex"
"38627","Bishopsgate","Surrey"
"38628","Bishopsgarth","Durham"
"38629","Bishop's Down","Dorset"
"38630","Bishops Frome","Herefordshire"
"38631","Bishop's Court","Isle of Man"
"38632","Bishop's Cleeve","Gloucestershire"
"38633","Bishop's Caundle","Dorset"
"38634","Bishop's Castle","Shropshire"
"38635","Bishops Cannings","Wiltshire"
"38636","Bishopsbourne","Kent"
"38637","Bishop Norton","Lincolnshire"
"38638","Bishop Monkton","North Yorkshire"
"38639","Bishopmill","Moray"
"38640","Bishop Middleham","Durham"
"38641","Bishop Kinkell","Highland"
"38642","Bishopdown","Wiltshire"
"38643","Bishop Burton","North Yorkshire"
"38644","Bishopbriggs","Dunbartonshire"
"38645","Bishopbridge","Lincolnshire"
"38646","Bishop Auckland","Durham"
"38647","Bishon Common","Herefordshire"
"38648","Bish Mill","Devon"
"38649","Biscovey","Cornwall"
"38650","Bisham","Berkshire"
"38651","Bishampton","Worcestershire"
"38652","Biscot","Bedfordshire"
"38653","Biscathorpe","Lincolnshire"
"38654","Biscombe","Somerset"
"38655","Bisbrooke","Rutland"
"38656","Biruaslum","Western Isles"
"38657","Birts Street","Worcestershire"
"38658","Birtsmorton","Worcestershire"
"38659","Birtley Green","Surrey"
"38660","Birtley","Durham"
"38661","Birtley","Northumberland"
"38662","Birtley","Shropshire"
"38663","Birtley","Herefordshire"
"38664","Birtle","Lancashire"
"38665","Birthorpe","Lincolnshire"
"38666","Birstwith","North Yorkshire"
"38667","Birstall Smithies","West Yorkshire"
"38668","Birstall","Leicestershire"
"38669","Birstall","West Yorkshire"
"38670","Birsemore","Aberdeenshire"
"38671","Birse","Aberdeenshire"
"38672","Birns Water","East Lothian"
"38673","Birniehill","Lanarkshire"
"38674","Birnam","Perth and Kinross"
"38675","Birmingham and Fazeley Canal","Staffordshire"
"38676","Birmingham","West Midlands"
"38677","Birling Gap","East Sussex"
"38678","Birlingham","Worcestershire"
"38679","Birling","Kent"
"38680","Birleyhay","Derbyshire"
"38681","Birley Edge","South Yorkshire"
"38682","Birley Carr","South Yorkshire"
"38683","Birley","Herefordshire"
"38684","Birks","Cumbria"
"38685","Birkshaw","Northumberland"
"38686","Birks","West Yorkshire"
"38687","Birkin","North Yorkshire"
"38688","Birkhouse","Durham"
"38689","Birkholme","Lincolnshire"
"38690","Birkhill","Angus"
"38691","Birkhill","Scottish Borders"
"38692","Birkett Mire","Cumbria"
"38693","Birkenside","Scottish Borders"
"38694","Birkenshaw Bottoms","West Yorkshire"
"38695","Birkenshaw","Lanarkshire"
"38696","Birkenshaw","West Yorkshire"
"38697","Birkenhead","Merseyside"
"38698","Birkdale","Merseyside"
"38699","Birkby","West Yorkshire"
"38700","Birkby","North Yorkshire"
"38701","Birkby","Cumbria"
"38702","Birk Beck","Cumbria"
"38703","Birkacre","Lancashire"
"38704","Birgham","Scottish Borders"
"38705","Birdwood","Gloucestershire"
"38706","Birdwell","South Yorkshire"
"38707","Bird Street","Suffolk"
"38708","Birdston","Dunbartonshire"
"38709","Birdsmoorgate","Dorset"
"38710","Birds Green","Essex"
"38711","Birdsgreen","Shropshire"
"38712","Birds End","Suffolk"
"38713","Birds Edge","West Yorkshire"
"38714","Birdsall","North Yorkshire"
"38715","Bird Obsy","Shetland Isles"
"38716","Birdlip","Gloucestershire"
"38717","Birdingbury","Warwickshire"
"38718","Birdholme","Derbyshire"
"38719","Birdham","West Sussex"
"38720","Bird Green","Essex"
"38721","Birdforth Beck","North Yorkshire"
"38722","Birdforth","North Yorkshire"
"38723","Birdfield","Argyll and Bute"
"38724","Birdbush","Wiltshire"
"38725","Birdbrook","Essex"
"38726","Bircotes","Nottinghamshire"
"38727","Birchy Hill","Hampshire"
"38728","Birchwood","Lincolnshire"
"38729","Birchwood","Cheshire"
"38730","Birchwood","Hertfordshire"
"38731","Birchwood","Somerset"
"38732","Birchover","Derbyshire"
"38733","Birch Vale","Derbyshire"
"38734","Bircholt Forstal","Kent"
"38735","Birchmoor Green","Bedfordshire"
"38736","Birchley Heath","Warwickshire"
"38737","Birchmoor","Warwickshire"
"38738","Birchington","Kent"
"38739","Birchills","Staffordshire"
"38740","Birchill","Devon"
"38741","Birch Hill","Berkshire"
"38742","Birch Heath","Cheshire"
"38743","Birchhall Corner","Essex"
"38744","Birchgrove","Cardiff/Caerdydd"
"38745","Birchgrove","Swansea"
"38746","Birchgrove","West Sussex"
"38747","Birch Green","Lancashire"
"38748","Birch Green","Hertfordshire"
"38749","Birch Green","Essex"
"38750","Birch Green","Essex"
"38751","Birchfield","West Midlands"
"38752","Birches Head","Staffordshire"
"38753","Birchett's Green","East Sussex"
"38754","West Bridgford","Nottinghamshire"
"38755","West Bretton","West Yorkshire"
"38756","West Bradley","Somerset"
"38757","Birches Green","West Midlands"
"38758","Bircher","Herefordshire"
"38759","Birchendale","Staffordshire"
"38760","Birchend","Herefordshire"
"38761","Birchen","Highland"
"38762","Birchencliffe","West Yorkshire"
"38763","Birchburn","Ayrshire"
"38764","Birch Cross","Staffordshire"
"38765","Birchden","East Sussex"
"38766","West Bradford","Lancashire"
"38767","West Bowling","West Yorkshire"
"38768","West Bourton","Dorset"
"38769","Westbourne Green","London"
"38770","Birch Berrow","Worcestershire"
"38771","Westbourne","Hampshire"
"38772","Westborough","Lincolnshire"
"38773","Birchanger","Essex"
"38774","Bircham Tofts","Norfolk"
"38775","Birchan Coppice","Worcestershire"
"38776","Birchall","Staffordshire"
"38777","Bircham Newton","Norfolk"
"38778","Birchall","Herefordshire"
"38779","Bingham","Edinburgh"
"38780","Bingley","West Yorkshire"
"38781","Bings Heath","Shropshire"
"38782","Binham","Norfolk"
"38783","Binley","West Midlands"
"38784","Binley","Hampshire"
"38785","Binley Woods","Warwickshire"
"38786","Binnegar","Dorset"
"38787","Binniehill","Stirling"
"38788","Binscombe","Surrey"
"38789","Binsey","Oxfordshire"
"38790","Binsoe","North Yorkshire"
"38791","Binstead","Hampshire"
"38792","Binstead","Isle of Wight"
"38793","Binsted","West Sussex"
"38794","Binton","Warwickshire"
"38795","Bintree","Norfolk"
"38796","Birch","Essex"
"38797","Birch","Lancashire"
"38798","Birch Acre","Worcestershire"
"38799","Bingham","Nottinghamshire"
"38800","Binfield Heath","Oxfordshire"
"38801","Bingfield","Northumberland"
"38802","Binfield","Berkshire"
"38803","Bines Green","West Sussex"
"38804","Binegar","Somerset"
"38805","Bindon","Somerset"
"38806","Bindal","Highland"
"38807","Bincombe","Dorset"
"38808","Bincombe","Somerset"
"38809","Binchester Blocks","Durham"
"38810","Binbrook","Lincolnshire"
"38811","Bilton Haggs","North Yorkshire"
"38812","Bimbister","Orkney"
"38813","Westbourne","Suffolk"
"38814","Westbourne","Dorset"
"38815","West Boldon","Tyne and Wear"
"38816","West Bold","Scottish Borders"
"38817","West Blatchington","East Sussex"
"38818","West Blackdene","Durham"
"38819","West Blackdown","Devon"
"38820","West Bilney","Norfolk"
"38821","West Bexington","Dorset"
"38822","Bilton","North Yorkshire"
"38823","Bilton","Northumberland"
"38824","Bilting","Kent"
"38825","Bilton","Warwickshire"
"38826","Bilstone","Leicestershire"
"38827","Bilston","Midlothian"
"38828","Bilston","Staffordshire"
"38829","Bilsthorpe Moor","Nottinghamshire"
"38830","Bilsthorpe","Nottinghamshire"
"38831","Bilson Green","Gloucestershire"
"38832","Bilsington","Kent"
"38833","Bilsdon","Devon"
"38834","Bilsham","West Sussex"
"38835","Bilsby Field","Lincolnshire"
"38836","Bilsby","Lincolnshire"
"38837","Bilmarsh","Shropshire"
"38838","Bilsborrow","Lancashire"
"38839","Billy Row","Durham"
"38840","Billy Mill","Tyne and Wear"
"38841","Bill Quay","Durham"
"38842","Bill Of Portland","Dorset"
"38843","Billockby","Norfolk"
"38844","Billington","Staffordshire"
"38845","Billington","Lancashire"
"38846","Billington","Bedfordshire"
"38847","Billingsley","Shropshire"
"38848","Billingshurst","West Sussex"
"38849","Billingley","South Yorkshire"
"38850","Billinghay","Lincolnshire"
"38851","Billingham","Durham"
"38852","Billingford","Norfolk"
"38853","Billingford","Suffolk"
"38854","Billinge","Merseyside"
"38855","Billingborough","Lincolnshire"
"38856","Billesley Common","West Midlands"
"38857","Billesley","Warwickshire"
"38858","Billesley","West Midlands"
"38859","Billesdon","Leicestershire"
"38860","Billericay","Essex"
"38861","Billacott","Cornwall"
"38862","Billacombe","Devon"
"38863","Bildeston","Suffolk"
"38864","Bildershaw","Durham"
"38865","Bilby","Nottinghamshire"
"38866","Bilbster Mains","Highland"
"38867","Bilbster","Highland"
"38868","Bilbrough","North Yorkshire"
"38869","Bilbrook","Staffordshire"
"38870","Bilbrook","Somerset"
"38871","Bilborough","Nottinghamshire"
"38872","Bilberry","Cornwall"
"38873","Bigton","Shetland Isles"
"38874","Big Sand","Highland"
"38875","Bigrigg","Cumbria"
"38876","Bigods","Essex"
"38877","Bignor","West Sussex"
"38878","Bignall End","Staffordshire"
"38879","Big Mancot","Flintshire/Sir Fflint"
"38880","Biglands","Cumbria"
"38881","Bighton","Hampshire"
"38882","Biggleswade","Bedfordshire"
"38883","Biggin Hill","London"
"38884","Biggin","Derbyshire"
"38885","Biggings","Shetland Isles"
"38886","Biggin","North Yorkshire"
"38887","Biggin","Essex"
"38888","Biggar Road","Lanarkshire"
"38889","Biggar","Cumbria"
"38890","Biggar","Lanarkshire"
"38891","Bigfrith","Berkshire"
"38892","Bigga","Shetland Isles"
"38893","Big Burn","Highland"
"38894","Bigbury","Devon"
"38895","Bigbury-on-Sea","Devon"
"38896","Bigby","Lincolnshire"
"38897","Bierton","Buckinghamshire"
"38898","Bierley","West Yorkshire"
"38899","Bierley","Isle of Wight"
"38900","Bieldside","Aberdeenshire"
"38901","Bielby Beck","North Yorkshire"
"38902","Bielby","North Yorkshire"
"38903","Bidwell","Bedfordshire"
"38904","Bidston Hill","Merseyside"
"38905","Bidston","Merseyside"
"38906","Bidlake","Devon"
"38907","Bidford-on-Avon","Warwickshire"
"38908","Bideford","Devon"
"38909","Biddulph Moor","Staffordshire"
"38910","Biddisham","Somerset"
"38911","Biddlesden","Buckinghamshire"
"38912","Biddulph","Staffordshire"
"38913","Biddick Hall","Tyne and Wear"
"38914","Biddick","Durham"
"38915","Biddestone","Wiltshire"
"38916","Biddenham","Bedfordshire"
"38917","Biddenden Green","Kent"
"38918","Biddenden","Kent"
"38919","Bidden","Hampshire"
"38920","Bidborough","Kent"
"38921","Bicton Heath","Shropshire"
"38922","Bicton","Shropshire"
"38923","Bicton","Pembrokeshire/Sir Benfro"
"38924","Bicton","Shropshire"
"38925","Bickton","Hampshire"
"38926","Bicton","Shropshire"
"38927","Bicknor","Kent"
"38928","Bicknoller","Somerset"
"38929","Bicknacre","Essex"
"38930","Bickmarsh","Warwickshire"
"38931","Bickleywood","Cheshire"
"38932","Bickley Town","Cheshire"
"38933","Bickley Moss","Cheshire"
"38934","Bickley","London"
"38935","Bickley","London"
"38936","Bickleton","Devon"
"38937","Bickleigh","Devon"
"38938","Bickington","Devon"
"38939","Bickingcott","Devon"
"38940","Bickham","Somerset"
"38941","Bickford","Staffordshire"
"38942","Bickerton","Cheshire"
"38943","Bickerton","North Yorkshire"
"38944","Bickerton","Devon"
"38945","Bickerstaffe","Lancashire"
"38946","Bickershaw","Lancashire"
"38947","Bicker Gauntlet","Lincolnshire"
"38948","Bicker Bar","Lincolnshire"
"38949","Bicker","Lincolnshire"
"38950","Bickenhill","West Midlands"
"38951","Bickenhall","Somerset"
"38952","Bicester","Oxfordshire"
"38953","Bibury","Gloucestershire"
"38954","Bibstone","Gloucestershire"
"38955","Beyton Green","Suffolk"
"38956","Beyton","Suffolk"
"38957","Bexwell","Norfolk"
"38958","Bexon","Kent"
"38959","Bexleyhill","West Sussex"
"38960","Bexleyheath","London"
"38961","Bexley","London"
"38962","Bexhill","East Sussex"
"38963","Bexfield","Norfolk"
"38964","Bewsey","Cheshire"
"38965","Bewlie Mains","Scottish Borders"
"38966","Bewlie","Scottish Borders"
"38967","Bewley Common","Wiltshire"
"38968","Bewl Bridge Reservoir","East Sussex"
"38969","Bewl","Kent"
"38970","Bewholme","North Yorkshire"
"38971","Bewerley","North Yorkshire"
"38972","Bewdley","Worcestershire"
"38973","Bewcastle","Cumbria"
"38974","Bewbush","West Sussex"
"38975","Bewaldeth","Cumbria"
"38976","Bevington","Gloucestershire"
"38977","Bevill's Leam","Cambridgeshire"
"38978","Beverston","Gloucestershire"
"38979","Beverley Beck","London"
"38980","Beverley and Barmston Drain","North Yorkshire"
"38981","Beverley","North Yorkshire"
"38982","Bevere","Worcestershire"
"38983","Bevendean","East Sussex"
"38984","Beult","Kent"
"38985","Beulah","Powys/Powys"
"38986","Beulah","Cardiganshire/Ceredigion"
"38987","Betws-yn-Rhos","Conwy/Conwy"
"38988","Betws-y-Coed","Conwy/Conwy"
"38989","Betws Ifan","Cardiganshire/Ceredigion"
"38990","Betws Garmon","Gwynedd/Gwynedd"
"38991","Betws Bledrws","Cardiganshire/Ceredigion"
"38992","Betws","Glamorgan/Morgannwg"
"38993","Betws","Carmarthenshire/Sir Gaerfyrddin"
"38994","Bettyhill","Highland"
"38995","Bettws-y-crwyn","Shropshire"
"38996","Bettws Newydd","Monmouthshire/Sir Fynwy"
"38997","Bettws Gwerfil Goch","Denbighshire/Sir Ddinbych"
"38998","Bettws Cedewain","Powys/Powys"
"38999","Bettws","Newport"
"39000","Bettws","Monmouthshire/Sir Fynwy"
"39001","Betton Strange","Shropshire"
"39002","Betton","Shropshire"
"39003","Bettisfield","Wrexham"
"39004","Bettiscombe","Dorset"
"39005","Betteshanger","Kent"
"39006","Betsham","Kent"
"39007","Betley Common","Cheshire"
"39008","Betley","Staffordshire"
"39009","Bethnal Green","London"
"39010","Bethesda","Gwynedd/Gwynedd"
"39011","Bethlehem","Carmarthenshire/Sir Gaerfyrddin"
"39012","Bethersden","Kent"
"39013","Bethesda","Pembrokeshire/Sir Benfro"
"39014","Bethel","Gwynedd/Gwynedd"
"39015","Bethel","Anglesey/Sir Fon"
"39016","Bethel","Gwynedd/Gwynedd"
"39017","Bethel","Cornwall"
"39018","Bethasda","Gwynedd/Gwynedd"
"39019","Bethany","Cornwall"
"39020","Bethania","Gwynedd/Gwynedd"
"39021","Bethania","Cardiganshire/Ceredigion"
"39022","Betchworth","Surrey"
